Lastname,Forename,Subdomain,Type
Hassler,John,"Individuals, Markets and Organisations (SH1)",Member
Leclerc,Olivier,"Institutions, Governance and Legal Systems (SH2)",Member
Vili,Anne Keegan,"Individuals, Markets and Organisations (SH1)",Member
Lehdonvirta,,"Institutions, Governance and Legal Systems (SH2)",Member
Loureiro,Maria L.,"Individuals, Markets and Organisations (SH1)",Member
Mattoni,Alice,"Institutions, Governance and Legal Systems (SH2)",Member
Michelacci,Claudio,"Individuals, Markets and Organisations (SH1)",Member
Møller,Jørgen,"Institutions, Governance and Legal Systems (SH2)",Member
Mitchell,Matthew,"Individuals, Markets and Organisations (SH1)",Member
Riles,Annelise,"Institutions, Governance and Legal Systems (SH2)",Member
Christine,Nuno Palma,"Individuals, Markets and Organisations (SH1)",Member
Sypnowich,,"Institutions, Governance and Legal Systems (SH2)",Member
Pisinger,David,"Individuals, Markets and Organisations (SH1)",Member
Tallberg,Jonas,"Institutions, Governance and Legal Systems (SH2)",Member
Šimović,Petra Posedel,"Individuals, Markets and Organisations (SH1)",Member
Wessel,Ramses A.,"Institutions, Governance and Legal Systems (SH2)",Member
Francesco,,"Individuals, Markets and Organisations (SH1)",Member
Rosati,,"Institutions, Governance and Legal Systems (SH2)",Member
Servais,Olivier,The Social World and Its Interactions (SH3),Chair
Hernandez,Arturo E.,The Human Mind and Its Complexity (SH4),Chair
Bocconi,Stefania,The Social World and Its Interactions (SH3),Member
Angouri,Jo,The Human Mind and Its Complexity (SH4),Member
Boothroyd,Lynda,The Social World and Its Interactions (SH3),Member
Brass,Marcel,The Human Mind and Its Complexity (SH4),Member
Rey,Rosario Del,The Social World and Its Interactions (SH3),Member
Connor,Jason P.,The Human Mind and Its Complexity (SH4),Member
Hentschel,Christine,The Social World and Its Interactions (SH3),Member
Dahl,Eystein,The Human Mind and Its Complexity (SH4),Member
Jetten,Jolanda,The Social World and Its Interactions (SH3),Member
Bruijn,Ellen de,The Human Mind and Its Complexity (SH4),Member
Maclay,Colin Miles,The Social World and Its Interactions (SH3),Member
Ginzburg,Jonathan,The Human Mind and Its Complexity (SH4),Member
Konstantinos,Julie McLeod,The Social World and Its Interactions (SH3),Member
Katsikopoulos,V.,The Human Mind and Its Complexity (SH4),Member
Pietikäinen,Sari P.,The Social World and Its Interactions (SH3),Member
Konrad,Kerstin,The Human Mind and Its Complexity (SH4),Member
Swirak,Katharina,The Social World and Its Interactions (SH3),Member
Matasović,Ranko,The Human Mind and Its Complexity (SH4),Member
Swyngedouw,Marc,The Social World and Its Interactions (SH3),Member
Mazzoni,Giuliana,The Human Mind and Its Complexity (SH4),Member
Annika,Neil Thurman,The Social World and Its Interactions (SH3),Member
Melinder,Maria Désirée,The Human Mind and Its Complexity (SH4),Member
Triventi,Moris,The Social World and Its Interactions (SH3),Member
Swaab,Tamara Y.,The Human Mind and Its Complexity (SH4),Member
Gelder,Jean-Louis van,The Social World and Its Interactions (SH3),Member
Bos,Wouter van den,The Human Mind and Its Complexity (SH4),Member
Lente,Harro van,The Social World and Its Interactions (SH3),Member
Wagemans,Johan,The Human Mind and Its Complexity (SH4),Member
Venturini,Tommaso,The Social World and Its Interactions (SH3),Member
Yeshurun-Dishon,Yaara,The Human Mind and Its Complexity (SH4),Member
Susanne,,The Social World and Its Interactions (SH3),Member
Wessendorf,,The Human Mind and Its Complexity (SH4),Member
Smets,Sonja,Texts and Concept (SH5),Chair
Tinti,Francesca,The Study of the Human Past (SH6),Chair
Bisschop,Peter,Texts and Concept (SH5),Member
Angelucci,Diego E.,The Study of the Human Past (SH6),Member
Constantinou,Stavroula,Texts and Concept (SH5),Member
Babić,Staša,The Study of the Human Past (SH6),Member
D'Angelo,Paolo,Texts and Concept (SH5),Member
Cardim,Pedro,The Study of the Human Past (SH6),Member
Deroy,Ophelia,Texts and Concept (SH5),Member
Crabtree,Pam J.,The Study of the Human Past (SH6),Member
Geller,Mark,Texts and Concept (SH5),Member
Cunha,Eugénia,The Study of the Human Past (SH6),Member
Harari,Maurizio,Texts and Concept (SH5),Member
Cuttica,Cesare,The Study of the Human Past (SH6),Member
Jalobeanu,Dana,Texts and Concept (SH5),Member
Dasen,Véronique,The Study of the Human Past (SH6),Member
Gabriel,Andrea Kern,Texts and Concept (SH5),Member
Galvez-Behar,,The Study of the Human Past (SH6),Member
Liu,JeeLoo,Texts and Concept (SH5),Member
Gaul,Niels,The Study of the Human Past (SH6),Member
Maliks,Reidar Kiljan,Texts and Concept (SH5),Member
Haidle,Miriam,The Study of the Human Past (SH6),Member
Niskanen,Samu,Texts and Concept (SH5),Member
Kenney,Padraic,The Study of the Human Past (SH6),Member
Susanne,James Ogude,Texts and Concept (SH5),Member
Lachenicht,,The Study of the Human Past (SH6),Member
Recanati,François,Texts and Concept (SH5),Member
Moreno,Eduardo Manzano,The Study of the Human Past (SH6),Member
Rybicki,Jan,Texts and Concept (SH5),Member
Philip,Graham,The Study of the Human Past (SH6),Member
Warwick,Claire,Texts and Concept (SH5),Member
Toledano,Ehud,The Study of the Human Past (SH6),Member
Κalogerakos,Ioannis,Texts and Concept (SH5),Member
Zimmermann,Susan Carin,The Study of the Human Past (SH6),Member
Mertz,Ole,"Human Mobility, Environment, and Space (SH7)",Chair
Rampley,Matthew,Studies of Cultures and Arts (SH8),Chair
Ana,Isabelle Michele Sophie Anguelovski,"Human Mobility, Environment, and Space (SH7)",Member
Santos,Cristina Alvarez Caiano da Silva,Studies of Cultures and Arts (SH8),Member
Boggia,Antonio,"Human Mobility, Environment, and Space (SH7)",Member
Beugnet,Martine,Studies of Cultures and Arts (SH8),Member
Brockhaus,Maria,"Human Mobility, Environment, and Space (SH7)",Member
Dianteill,Erwan,Studies of Cultures and Arts (SH8),Member
Brown,Daniel,"Human Mobility, Environment, and Space (SH7)",Member
Étienne,Noémie,Studies of Cultures and Arts (SH8),Member
Ruurd,Basile Chaix,"Human Mobility, Environment, and Space (SH7)",Member
Halbertsma,Binnert,Studies of Cultures and Arts (SH8),Member
Nazelle,Audrey de,"Human Mobility, Environment, and Space (SH7)",Member
Holmes,Katie,Studies of Cultures and Arts (SH8),Member
Dijst,Martin,"Human Mobility, Environment, and Space (SH7)",Member
Impett,Jonathan,Studies of Cultures and Arts (SH8),Member
Grzymała-Kazłowska,Aleksandra,"Human Mobility, Environment, and Space (SH7)",Member
Jackson,Shannon,Studies of Cultures and Arts (SH8),Member
Möllborn,Stefanie,"Human Mobility, Environment, and Space (SH7)",Member
Marr,Alexander,Studies of Cultures and Arts (SH8),Member
Paez,Antonio,"Human Mobility, Environment, and Space (SH7)",Member
Michelutti,Lucia,Studies of Cultures and Arts (SH8),Member
Sakdapolrak,Patrick,"Human Mobility, Environment, and Space (SH7)",Member
Parreñas,Juno Salazar,Studies of Cultures and Arts (SH8),Member
Sullivan,Sian,"Human Mobility, Environment, and Space (SH7)",Member
Pink,Sarah,Studies of Cultures and Arts (SH8),Member
Swianiewicz,Paweł,"Human Mobility, Environment, and Space (SH7)",Member
Ros-Fábregas,Emilio,Studies of Cultures and Arts (SH8),Member
Turnhout,Esther,"Human Mobility, Environment, and Space (SH7)",Member
Tiidenberg,Katrin,Studies of Cultures and Arts (SH8),Member
Zagheni,Emilio,"Human Mobility, Environment, and Space (SH7)",Member
Udupa,Sahana,Studies of Cultures and Arts (SH8),Member
Bjarki,,"Human Mobility, Environment, and Space (SH7)",Member
Valtýsson,,Studies of Cultures and Arts (SH8),Member
