Lastname,Forename,Subdomain,Type
Mortensen,Andreas,Materials Engineering (PE11),Member
Nelson,Jenny,Materials Engineering (PE11),Member
Petford-Long,Amanda,Materials Engineering (PE11),Member
Rinke,Patrick,Materials Engineering (PE11),Member
Szunerits,Sabine,Materials Engineering (PE11),Member
Zwaag,Sybrand Van der,Materials Engineering (PE11),Member
García-Parajo,María,Structures and Functions (LS1),Chair
Gronemeyer,Hinrich,to Systems (LS2),Chair
Brügger,Britta,Structures and Functions (LS1),Member
Bowler,Chris,to Systems (LS2),Member
Carmo-Fonseca,Maria,Structures and Functions (LS1),Member
Cardoso,M. Cristina,to Systems (LS2),Member
Elofsson,Arne,Structures and Functions (LS1),Member
Elf,Johan,to Systems (LS2),Member
Gevaert,Kris,Structures and Functions (LS1),Member
Florens,Laurence A.,to Systems (LS2),Member
Gorgoulis,Vassilios,Structures and Functions (LS1),Member
Fraternali,Franca,to Systems (LS2),Member
Luchinat,Claudio,Structures and Functions (LS1),Member
Geldner,Niko,to Systems (LS2),Member
Noble,Martin,Structures and Functions (LS1),Member
Klingmüller,Ursula,to Systems (LS2),Member
Rueda,David,Structures and Functions (LS1),Member
Knoers,Nine,to Systems (LS2),Member
Minna,Frances Separovic,Structures and Functions (LS1),Member
Kaikkonen-Määttä,,to Systems (LS2),Member
Strynadka,Natalie,Structures and Functions (LS1),Member
Raes,Jeroen,to Systems (LS2),Member
Wolf,Sharon Grayer,Structures and Functions (LS1),Member
Verrijzer,Peter V.,to Systems (LS2),Member
Zhivotovsky,Boris D.,Structures and Functions (LS1),Member
Zuber,Johannes,to Systems (LS2),Member
Cota,Philip Ingham  Daniela,Regeneration (LS3),Chair
Brenner,Detlev Arendt Catherine,Regeneration (LS3),Member
Brisken,Laurent Blanchoin Cathrin,Regeneration (LS3),Member
DeClerck,Patricia Boya Yves,Regeneration (LS3),Member
Giacca,Sabine Costagliola Mauro,Regeneration (LS3),Member
Hordijk,Bert De Rybel Peter Lodewijk,Regeneration (LS3),Member
Jakob,Rong Li Ursula,Regeneration (LS3),Member
Lambrechts,Giorgio Scita Diether,Regeneration (LS3),Member
Moretti,Anne Spang Alessandra,Regeneration (LS3),Member
Nagarajan,Jens Stougaard Niranjan,Regeneration (LS3),Member
Vaag,Flora Vaccarino Allan,Regeneration (LS3),Member
Valverde,Ludovic Vallier Angela Maria,Regeneration (LS3),Member
Vanhatalo,Anni,Regeneration (LS3),Member
Weller,Michael,Regeneration (LS3),Member
Masucci,Christian Büchel  Maria Grazia,System (LS5),Chair
Addo,Katerina Akassoglou Marylyn,System (LS5),Member
Billker,Turgay Dalkara Oliver,System (LS5),Member
Cogné,Bogdan Draganski Michel,System (LS5),Member
Finn,Carole Dufouil Olivera,System (LS5),Member
Granucci,Klaus Ebmeier Francesca,System (LS5),Member
Harris,Carles Escera Mark,System (LS5),Member
Kollias,Herta Flor George,System (LS5),Member
Lemaitre,Kenneth Harris Bruno,System (LS5),Member
Mauri,Judith Homberg Claudia,System (LS5),Member
Rudel,Poul Henning Jensen Thomas,System (LS5),Member
Silva-Santos,Frank Kooy Bruno,System (LS5),Member
Matteoli,Michela,System (LS5),Member
Reiner,Orly,System (LS5),Member
Amelsvoort,Thérèse van,System (LS5),Member
Bergelson,Joy,Human Diseases (LS7),Chair
Baldrian,Dominique Costagliola  Petr,Human Diseases (LS7),Chair
Araujo,Ilja Arts Miguel Bastos,Human Diseases (LS7),Member
Beekman,Frank Bengel Madeleine,Human Diseases (LS7),Member
Brockhurst,José Maria Benlloch Michael,Human Diseases (LS7),Member
Charmantier,Chiara Bonini Anne,Human Diseases (LS7),Member
Diaz,Karine Breckpot Sandra,Human Diseases (LS7),Member
Gaillard,Hester den Ruijter Jean-Michel,Human Diseases (LS7),Member
Jetten,Fredrik Hook Michael S. M.,Human Diseases (LS7),Member
Reusch,Nuno Neves Thorsten B.,Human Diseases (LS7),Member
Schlötterer,Pål Rasmus Njølstad Christian,Human Diseases (LS7),Member
Schwander,Munir Pirmohamed Tanja,Human Diseases (LS7),Member
Peer,Josep Samitier Yves Van de,Human Diseases (LS7),Member
Werdelin,Eva Schernhammer Lars,Human Diseases (LS7),Member
Willis,Remy Slama Katherine,Human Diseases (LS7),Member
Stefanis,Leonidas,Human Diseases (LS7),Member
Uchegbu,Ijeoma,Human Diseases (LS7),Member
Zimmermann,Wolfram,Human Diseases (LS7),Member
Talbot,Nicholas,Biotechnology and Biosystems Engineering (LS9),Chair
Aguilar,Maria Isabel,Biotechnology and Biosystems Engineering (LS9),Member
Carnaveli,Oliana,Biotechnology and Biosystems Engineering (LS9),Member
Fowden,Abigail L.,Biotechnology and Biosystems Engineering (LS9),Member
Gobbetti,Marco,Biotechnology and Biosystems Engineering (LS9),Member
Messier,Christian,Biotechnology and Biosystems Engineering (LS9),Member
Møller,Birger Lindberg,Biotechnology and Biosystems Engineering (LS9),Member
Pulido,Nuria Montserrat,Biotechnology and Biosystems Engineering (LS9),Member
Müller,Rolf,Biotechnology and Biosystems Engineering (LS9),Member
Niemann,Heiner,Biotechnology and Biosystems Engineering (LS9),Member
Penttilä,Merja,Biotechnology and Biosystems Engineering (LS9),Member
Straeten,Dominique Van Der,Biotechnology and Biosystems Engineering (LS9),Member
Verstrepen,Kévin,Biotechnology and Biosystems Engineering (LS9),Member
Rockenbach,Bettina,"Individuals, Markets and Organisations (SH1)",Chair
Cloatre,Emilie,"Institutions, Governance and Legal Systems (SH2)",Chair
Achtenhagen,Leona,"Individuals, Markets and Organisations (SH1)",Member
Belleau,Marie-Claire,"Institutions, Governance and Legal Systems (SH2)",Member
Thomas,Sascha Albers,"Individuals, Markets and Organisations (SH1)",Member
Bräuninger,J.,"Institutions, Governance and Legal Systems (SH2)",Member
Bacchetta,Philippe,"Individuals, Markets and Organisations (SH1)",Member
Buhaug,Halvard,"Institutions, Governance and Legal Systems (SH2)",Member
Laura,Emilio Calvano,"Individuals, Markets and Organisations (SH1)",Member
Piñeiro,Carballo,"Institutions, Governance and Legal Systems (SH2)",Member
Casamatta,Catherine,"Individuals, Markets and Organisations (SH1)",Member
Farrell,David,"Institutions, Governance and Legal Systems (SH2)",Member
Valck,Kristine de,"Individuals, Markets and Organisations (SH1)",Member
Jacquot,Sophie,"Institutions, Governance and Legal Systems (SH2)",Member
