Forename,Lastname,Fullname,Type
Angela,Valverde,Angela Maria Valverde,Member
Anni,Vanhatalo,Anni Vanhatalo,Member
Michael,Weller,Michael Weller,Member
Neuroscience and Disorders of the Nervous,,Neuroscience and Disorders of the Nervous,Member
Christian,Büchel,Christian Büchel,Chair
Katerina,Akassoglou,Katerina Akassoglou,Member
Turgay,Dalkara,Turgay Dalkara,Member
Bogdan,Draganski,Bogdan Draganski,Member
Carole,Dufouil,Carole Dufouil,Member
Klaus,Ebmeier,Klaus Ebmeier,Member
Carles,Escera,Carles Escera,Member
Herta,Flor,Herta Flor,Member
Kenneth,Harris,Kenneth Harris,Member
Judith,Homberg,Judith Homberg,Member
Poul,Jensen,Poul Henning Jensen,Member
Frank,Kooy,Frank Kooy,Member
Michela,Matteoli,Michela Matteoli,Member
Orly,Reiner,Orly Reiner,Member
Thérèse,van Amelsvoort,Thérèse van Amelsvoort,Member
Maria,Masucci,Maria Grazia Masucci,Chair
Marylyn,Addo,Marylyn Addo,Member
Oliver,Billker,Oliver Billker,Member
Michel,Cogné,Michel Cogné,Member
Olivera,Finn,Olivera Finn,Member
Francesca,Granucci,Francesca Granucci,Member
Mark,Harris,Mark Harris,Member
George,Kollias,George Kollias,Member
Bruno,Lemaitre,Bruno Lemaitre,Member
Claudia,Mauri,Claudia Mauri,Member
Thomas,Rudel,Thomas Rudel,Member
Bruno,Silva-Santos,Bruno Silva-Santos,Member
Diagnosis and Treatment of,Prevention,"Prevention, Diagnosis and Treatment of",Member
Dominique,Costagliola,Dominique Costagliola,Chair
Ilja,Arts,Ilja Arts,Member
Frank,Bengel,Frank Bengel,Member
José,Benlloch,José Maria Benlloch,Member
Chiara,Bonini,Chiara Bonini,Member
Karine,Breckpot,Karine Breckpot,Member
Hester,Ruijter,Hester den Ruijter,Member
Fredrik,Hook,Fredrik Hook,Member
Nuno,Neves,Nuno Neves,Member
Pål,Njølstad,Pål Rasmus Njølstad,Member
Munir,Pirmohamed,Munir Pirmohamed,Member
Josep,Samitier,Josep Samitier,Member
Eva,Schernhammer,Eva Schernhammer,Member
Remy,Slama,Remy Slama,Member
Leonidas,Stefanis,Leonidas Stefanis,Member
Ijeoma,Uchegbu,Ijeoma Uchegbu,Member
Wolfram,Zimmermann,Wolfram Zimmermann,Member
Joy,Bergelson,Joy Bergelson,Chair
Petr,Baldrian,Petr Baldrian,Member
Miguel,Araujo,Miguel Bastos Araujo,Member
Madeleine,Beekman,Madeleine Beekman,Member
Michael,Brockhurst,Michael Brockhurst,Member
Anne,Charmantier,Anne Charmantier,Member
Sandra,Diaz,Sandra Diaz,Member
Jean-Michel,Gaillard,Jean-Michel Gaillard,Member
Michael,Jetten,Michael S. M. Jetten,Member
Thorsten,Reusch,Thorsten B. Reusch,Member
Christian,Schlötterer,Christian Schlötterer,Member
Tanja,Schwander,Tanja Schwander,Member
Yves,Van de Peer,Yves Van de Peer,Member
Lars,Werdelin,Lars Werdelin,Member
Katherine,Willis,Katherine Willis,Member
Nicholas,Talbot,Nicholas Talbot,Chair
Maria,Aguilar,Maria Isabel Aguilar,Member
Oliana,Carnaveli,Oliana Carnaveli,Member
Abigail,Fowden,Abigail L. Fowden,Member
Marco,Gobbetti,Marco Gobbetti,Member
Christian,Messier,Christian Messier,Member
Birger,Møller,Birger Lindberg Møller,Member
Nuria,Pulido,Nuria Montserrat Pulido,Member
Rolf,Müller,Rolf Müller,Member
Heiner,Niemann,Heiner Niemann,Member
Merja,Penttilä,Merja Penttilä,Member
Dominique,Van Der Straeten,Dominique Van Der Straeten,Member
Kévin,Verstrepen,Kévin Verstrepen,Member
Bettina,Rockenbach,Bettina Rockenbach,Chair
Leona,Achtenhagen,Leona Achtenhagen,Member
Sascha,Albers,Sascha Albers,Member
Philippe,Bacchetta,Philippe Bacchetta,Member
Emilio,Calvano,Emilio Calvano,Member
Catherine,Casamatta,Catherine Casamatta,Member
Kristine,de Valck,Kristine de Valck,Member
John,Hassler,John Hassler,Member
Anne,Keegan,Anne Keegan,Member
Maria,Loureiro,Maria L. Loureiro,Member
Claudio,Michelacci,Claudio Michelacci,Member
Matthew,Mitchell,Matthew Mitchell,Member
Nuno,Palma,Nuno Palma,Member
David,Pisinger,David Pisinger,Member
Petra,Šimović,Petra Posedel Šimović,Member
Francesco,Rosati,Francesco Rosati,Member
Emilie,Cloatre,Emilie Cloatre,Chair
Marie-Claire,Belleau,Marie-Claire Belleau,Member
Thomas,Bräuninger,Thomas J. Bräuninger,Member
Halvard,Buhaug,Halvard Buhaug,Member
Laura,Piñeiro,Laura Carballo Piñeiro,Member
David,Farrell,David Farrell,Member
Sophie,Jacquot,Sophie Jacquot,Member
Olivier,Leclerc,Olivier Leclerc,Member
Vili,Lehdonvirta,Vili Lehdonvirta,Member
Alice,Mattoni,Alice Mattoni,Member
Jørgen,Møller,Jørgen Møller,Member
Annelise,Riles,Annelise Riles,Member
Christine,Sypnowich,Christine Sypnowich,Member
Jonas,Tallberg,Jonas Tallberg,Member
Ramses,Wessel,Ramses A. Wessel,Member
Olivier,Servais,Olivier Servais,Chair
Stefania,Bocconi,Stefania Bocconi,Member
Lynda,Boothroyd,Lynda Boothroyd,Member
Rosario,Del Rey,Rosario Del Rey,Member
Christine,Hentschel,Christine Hentschel,Member
Jolanda,Jetten,Jolanda Jetten,Member
Colin,Maclay,Colin Miles Maclay,Member
Julie,McLeod,Julie McLeod,Member
Sari,Pietikäinen,Sari P. Pietikäinen,Member
Katharina,Swirak,Katharina Swirak,Member
Marc,Swyngedouw,Marc Swyngedouw,Member
Neil,Thurman,Neil Thurman,Member
Moris,Triventi,Moris Triventi,Member
Jean-Louis,van Gelder,Jean-Louis van Gelder,Member
Harro,van Lente,Harro van Lente,Member
Tommaso,Venturini,Tommaso Venturini,Member
Susanne,Wessendorf,Susanne Wessendorf,Member
Arturo,Hernandez,Arturo E. Hernandez,Chair
Jo,Angouri,Jo Angouri,Member
Marcel,Brass,Marcel Brass,Member
Jason,Connor,Jason P. Connor,Member
Eystein,Dahl,Eystein Dahl,Member
Ellen,de Bruijn,Ellen de Bruijn,Member
Jonathan,Ginzburg,Jonathan Ginzburg,Member
Konstantinos,Katsikopoulos,Konstantinos V. Katsikopoulos,Member
Kerstin,Konrad,Kerstin Konrad,Member
Ranko,Matasović,Ranko Matasović,Member
Giuliana,Mazzoni,Giuliana Mazzoni,Member
Annika,Melinder,Annika Maria Désirée Melinder,Member
Tamara,Swaab,Tamara Y. Swaab,Member
Wouter,van den Bos,Wouter van den Bos,Member
Johan,Wagemans,Johan Wagemans,Member
Yaara,Yeshurun-Dishon,Yaara Yeshurun-Dishon,Member
Sonja,Smets,Sonja Smets,Chair
Peter,Bisschop,Peter Bisschop,Member
Stavroula,Constantinou,Stavroula Constantinou,Member
Paolo,D'Angelo,Paolo D'Angelo,Member
Ophelia,Deroy,Ophelia Deroy,Member
Mark,Geller,Mark Geller,Member
Maurizio,Harari,Maurizio Harari,Member
Dana,Jalobeanu,Dana Jalobeanu,Member
Andrea,Kern,Andrea Kern,Member
JeeLoo,Liu,JeeLoo Liu,Member
Reidar,Maliks,Reidar Kiljan Maliks,Member
Samu,Niskanen,Samu Niskanen,Member
James,Ogude,James Ogude,Member
François,Recanati,François Recanati,Member
Jan,Rybicki,Jan Rybicki,Member
Claire,Warwick,Claire Warwick,Member
Ioannis,Κalogerakos,Ioannis Κalogerakos,Member
Francesca,Tinti,Francesca Tinti,Chair
Diego,Angelucci,Diego E. Angelucci,Member
Staša,Babić,Staša Babić,Member
Pedro,Cardim,Pedro Cardim,Member
Pam,Crabtree,Pam J. Crabtree,Member
Eugénia,Cunha,Eugénia Cunha,Member
Cesare,Cuttica,Cesare Cuttica,Member
Véronique,Dasen,Véronique Dasen,Member
Gabriel,Galvez-Behar,Gabriel Galvez-Behar,Member
Niels,Gaul,Niels Gaul,Member
Miriam,Haidle,Miriam Haidle,Member
Padraic,Kenney,Padraic Kenney,Member
Susanne,Lachenicht,Susanne Lachenicht,Member
Eduardo,Moreno,Eduardo Manzano Moreno,Member
Graham,Philip,Graham Philip,Member
Ehud,Toledano,Ehud Toledano,Member
Susan,Zimmermann,Susan Carin Zimmermann,Member
Ole,Mertz,Ole Mertz,Chair
Isabelle,Anguelovski,Isabelle Michele Sophie Anguelovski,Member
Antonio,Boggia,Antonio Boggia,Member
Maria,Brockhaus,Maria Brockhaus,Member
Daniel,Brown,Daniel Brown,Member
Basile,Chaix,Basile Chaix,Member
Audrey,de Nazelle,Audrey de Nazelle,Member
Martin,Dijst,Martin Dijst,Member
Aleksandra,Grzymała-Kazłowska,Aleksandra Grzymała-Kazłowska,Member
Stefanie,Möllborn,Stefanie Möllborn,Member
Antonio,Paez,Antonio Paez,Member
Patrick,Sakdapolrak,Patrick Sakdapolrak,Member
Sian,Sullivan,Sian Sullivan,Member
Paweł,Swianiewicz,Paweł Swianiewicz,Member
Esther,Turnhout,Esther Turnhout,Member
Emilio,Zagheni,Emilio Zagheni,Member
Matthew,Rampley,Matthew Rampley,Chair
Ana,da Silva Santos,Ana Cristina Alvarez Caiano da Silva Santos,Member
Martine,Beugnet,Martine Beugnet,Member
Erwan,Dianteill,Erwan Dianteill,Member
Noémie,Étienne,Noémie Étienne,Member
Ruurd,Halbertsma,Ruurd Binnert Halbertsma,Member
Katie,Holmes,Katie Holmes,Member
Jonathan,Impett,Jonathan Impett,Member
Shannon,Jackson,Shannon Jackson,Member
Alexander,Marr,Alexander Marr,Member
Lucia,Michelutti,Lucia Michelutti,Member
Juno,Parreñas,Juno Salazar Parreñas,Member
Sarah,Pink,Sarah Pink,Member
Emilio,Ros-Fábregas,Emilio Ros-Fábregas,Member
Katrin,Tiidenberg,Katrin Tiidenberg,Member
Sahana,Udupa,Sahana Udupa,Member
Bjarki,Valtýsson,Bjarki Valtýsson,Member
