Domain,Subdomain,Forename,Lastname,Fullname,Type
PE,Earth System Science (PE10),Alicia,Sintes,Alicia Sintes,Member
PE,Materials Engineering (PE11),Jean-Marie,Tarascon,Jean-Marie Tarascon,Chair
PE,Materials Engineering (PE11),Seema,Agarwal,Seema Agarwal,Member
PE,Materials Engineering (PE11),Markus,Antonietti,Markus Antonietti,Member
PE,Materials Engineering (PE11),Serena,Best,Serena Best,Member
PE,Materials Engineering (PE11),Ingo,Burgert,Ingo Burgert,Member
PE,Materials Engineering (PE11),Rachel,Caruso,Rachel Caruso,Member
PE,Materials Engineering (PE11),Nadine,Collaert,Nadine Collaert,Member
PE,Materials Engineering (PE11),Paolo,Colombo,Paolo Colombo,Member
PE,Materials Engineering (PE11),Marc,Geers,Marc Geers,Member
PE,Materials Engineering (PE11),Senentxu,Lanceros-Méndez,Senentxu Lanceros-Méndez,Member
PE,Materials Engineering (PE11),Andreas,Mortensen,Andreas Mortensen,Member
PE,Materials Engineering (PE11),Jenny,Nelson,Jenny Nelson,Member
PE,Materials Engineering (PE11),Amanda,Petford-Long,Amanda Petford-Long,Member
PE,Materials Engineering (PE11),Patrick,Rinke,Patrick Rinke,Member
PE,Materials Engineering (PE11),Sabine,Szunerits,Sabine Szunerits,Member
PE,Materials Engineering (PE11),Sybrand,Van der Zwaag,Sybrand Van der Zwaag,Member
LS,Materials Engineering (PE11),Molecules of Life:,Mechanisms,"Molecules of Life: Biological Mechanisms,",Member
LS,Materials Engineering (PE11),Integrative,Genes and Genomes,Integrative Biology: From Genes and Genomes,Member
LS,Structures and Functions (LS1),María,García-Parajo,María García-Parajo,Chair
LS,Structures and Functions (LS1),Britta,Brügger,Britta Brügger,Member
LS,Structures and Functions (LS1),Maria,Carmo-Fonseca,Maria Carmo-Fonseca,Member
LS,Structures and Functions (LS1),Arne,Elofsson,Arne Elofsson,Member
LS,Structures and Functions (LS1),Kris,Gevaert,Kris Gevaert,Member
LS,Structures and Functions (LS1),Vassilios,Gorgoulis,Vassilios Gorgoulis,Member
LS,Structures and Functions (LS1),Claudio,Luchinat,Claudio Luchinat,Member
LS,Structures and Functions (LS1),Martin,Noble,Martin Noble,Member
LS,Structures and Functions (LS1),David,Rueda,David Rueda,Member
LS,Structures and Functions (LS1),Frances,Separovic,Frances Separovic,Member
LS,Structures and Functions (LS1),Natalie,Strynadka,Natalie Strynadka,Member
LS,Structures and Functions (LS1),Sharon,Wolf,Sharon Grayer Wolf,Member
